Writer
"Marcel Allain, Louis Feuillade, Pierre Souvestre"
N/A
"James W. Adams, Adrian Johnson"
J.G. Hawks
"David Belasco, Edmund Goulding, Willard Mack"
"Tod Browning, Charles Kenyon"
"Roland West, Crane Wilbur, Willard Mack"
"Douglas Fairbanks, Jack Cunningham"
"Herman J. Mankiewicz, Alfred Savoir, Ernest Vajda"
Dziga Vertov
"Edgar Rice Burroughs, Ford Beebe"
"Willard Mack, Harvey F. Thew, Gordon Rigby"
"Earl Derr Biggers, Hugh Stanislaus Stange, Barry Conners"
"Joseph Jackson, Wilson Mizner, Courtney Terrett"
"Samuel Hoffenstein, George Marion Jr., Waldemar Young"
Robert Ellis
"J.B. Priestley, Benn W. Levy, R.C. Sherriff"
"Houston Branch, Wells Root, Howard Hawks"
"Jorge Pezet, Fernando de Fuentes"
"Edgar Allan Poe, Peter Ruric, Edgar G. Ulmer"
"James O. Spearing, Russell G. Shields, Lew Lehr"
Felix Adler
"Eric Ansell, Billie Bristow, John Quin"
"Arthur Strawn, Henry Myers"
"Lillian Hellman, Mordaunt Shairp, Guy Bolton"
"Maurice Renard, Florence Crewe-Jones, Guy Endore"
"Jack Kirkland, Frank Partos, Dale Van Every"
"Roy Chanslor, Earl Felton"
"Abem Finkel, William Wister Haines, Robert Lord"
"Lajos Biró, Arthur Wimperis"
"Thea von Harbou, Richard Eichberg, Hans Klaehr"
"Edgar Wallace, Patrick Kirwan, Walter Summers"
"Casey Robinson, George Emerson Brewer Jr., Bertram Bloch"
"Delmer Daves, Donald Ogden Stewart, Mildred Cram"
"Jean Renoir, Carl Koch, Beaumarchais"
"Curt Siodmak, Eric Taylor, Edmund L. Hartmann"
"Grover Jones, Lionel Houser, F. Hugh Herbert"
"Frederick J. Jackson, Dalton Trumbo"
"Charles Lederer, Ben Hecht, Charles MacArthur"
"Leon Gordon, Maurine Dallas Watkins, Octavus Roy Cohen"
"Robert Lees, Frederic I. Rinaldo, Eric Taylor"
"Lester Cole, John Wexley, Ladislas Fodor"
"Harry Essex, Sid Schwartz, Len Golos"
Stuart Anthony
"Robert MacGunigle, Harry Clork, Albert Mannheimer"
