Internet_Movie_Database_Rating,Metacritic_Rating,Rotten_Tomatoes_Rating
7.9/10,,
6.6/10,65/100,
7.7/10,,
8.0/10,,
7.3/10,67/100,
3.5/10,11/100,4%
2.4/10,17/100,2%
7.3/10,,84%
7.3/10,70/100,81%
6.3/10,,
7.7/10,66/100,84%
7.1/10,66/100,65%
6.5/10,29/100,67%
7.9/10,,
6.5/10,42/100,42%
6.5/10,63/100,80%
7.4/10,,
5.5/10,55/100,44%
4.6/10,,
6.1/10,50/100,62%
8.9/10,,
6.5/10,,
6.2/10,,
9.2/10,,
6.8/10,63/100,53%
5.3/10,,
5.3/10,,
6.8/10,69/100,78%
5.8/10,39/100,45%
7.3/10,,
5.7/10,,
5.1/10,31/100,5%
6.9/10,62/100,75%
5.2/10,,
7.5/10,,89%
7.0/10,,67%
6.8/10,89/100,94%
5.5/10,,100%
5.8/10,,80%
5.8/10,34/100,14%
7.3/10,,
8.2/10,,
5.9/10,,63%
5.4/10,,
5.5/10,46/100,24%
6.0/10,68/100,97%
8.0/10,,88%
8.0/10,,
8.4/10,,
8.2/10,72/100,
6.4/10,37/100,35%
7.3/10,,
4.6/10,,
7.3/10,,
4.7/10,47/100,44%
8.3/10,,
6.6/10,59/100,62%
6.5/10,61/100,77%
7.2/10,49/100,
7.8/10,76/100,85%
5.5/10,39/100,26%
7.3/10,,
,,
6.0/10,61/100,72%
7.7/10,,
3.6/10,,
8.0/10,74/100,83%
8.1/10,,
6.3/10,73/100,85%
7.5/10,,
3.6/10,,
5.3/10,,
5.8/10,,
5.0/10,,
1.9/10,15/100,1%
7.1/10,66/100,69%
8.4/10,,
5.1/10,,
4.1/10,,
7.1/10,67/100,77%
,,
7.8/10,,
6.7/10,,
2.3/10,,
5.3/10,31/100,15%
7.0/10,60/100,72%
6.3/10,,
7.0/10,,
7.8/10,,
,,
6.4/10,,
7.6/10,,100%
7.2/10,,
6.3/10,,
6.4/10,,
4.4/10,18/100,5%
5.5/10,45/100,40%
7.3/10,60/100,53%
6.2/10,,
8.7/10,,
7.0/10,,
3.1/10,,
5.7/10,,
,,
,,
7.2/10,,
6.2/10,,
7.0/10,57/100,63%
7.6/10,,
6.3/10,49/100,62%
,,
5.4/10,,
,,
6.0/10,35/100,7%
4.6/10,,
,,
5.4/10,29/100,10%
6.3/10,42/100,75%
7.7/10,83/100,96%
6.3/10,34/100,30%
7.0/10,72/100,97%
7.7/10,89/100,97%
,,
7.4/10,48/100,60%
,,
,,
8.5/10,79/100,92%
7.8/10,,
2.4/10,,
7.4/10,,86%
7.6/10,,
3.3/10,,
7.9/10,,
7.8/10,71/100,86%
8.1/10,,100%
6.8/10,,
5.5/10,31/100,10%
6.2/10,,
8.0/10,,
4.8/10,33/100,18%
6.7/10,52/100,52%
4.6/10,,
4.7/10,35/100,71%
7.4/10,,
6.3/10,,
6.2/10,,
,,
6.3/10,,
6.2/10,,
5.7/10,38/100,24%
8.3/10,,
6.6/10,51/100,63%
7.8/10,,
6.2/10,36/100,30%
6.2/10,56/100,63%
,,
7.7/10,,
8.1/10,,
7.3/10,,
6.9/10,,
6.2/10,,
7.8/10,,
5.6/10,45/100,34%
6.6/10,47/100,44%
7.8/10,,
5.6/10,,
5.7/10,,55%
6.5/10,57/100,67%
4.1/10,,
8.6/10,,
6.3/10,59/100,57%
7.6/10,,
8.1/10,,
7.0/10,,
5.2/10,,
8.6/10,,
8.0/10,79/100,97%
7.6/10,73/100,94%
7.3/10,72/100,88%
5.7/10,,
7.3/10,,100%
6.3/10,43/100,44%
8.5/10,,
7.7/10,,
5.6/10,,75%
6.3/10,54/100,53%
6.2/10,,
5.7/10,,
7.4/10,,
7.3/10,,
7.3/10,,
8.0/10,71/100,90%
6.6/10,60/100,92%
5.4/10,53/100,77%
6.2/10,69/100,87%
7.3/10,,96%
6.1/10,57/100,65%
3.7/10,,
4.7/10,,25%
6.1/10,,
6.2/10,,70%
6.4/10,58/100,68%
6.1/10,,
7.6/10,,100%
7.1/10,,
5.2/10,,8%
6.6/10,,
6.0/10,,
7.1/10,,
5.0/10,20/100,10%
5.9/10,,
8.1/10,79/100,88%
6.0/10,62/100,80%
7.1/10,,
8.2/10,,
6.1/10,,
6.9/10,81/100,96%
6.3/10,52/100,52%
6.3/10,,
8.4/10,,
5.9/10,55/100,58%
6.4/10,,
6.9/10,,
8.6/10,,
7.0/10,67/100,87%
6.5/10,,
7.0/10,54/100,65%
7.0/10,,
5.5/10,,73%
7.1/10,,
7.5/10,,
7.7/10,74/100,81%
6.5/10,,
7.3/10,,
7.3/10,,
6.5/10,,
6.7/10,,
6.1/10,47/100,23%
6.9/10,66/100,85%
6.1/10,,
6.9/10,,
7.5/10,,
,,100%
,,
6.5/10,,100%
7.3/10,81/100,99%
6.6/10,53/100,45%
5.2/10,,
6.1/10,55/100,56%
,,
,,
6.1/10,,
7.2/10,,100%
6.1/10,,
8.4/10,,
7.8/10,,
6.8/10,87/100,95%
8.4/10,,
6.8/10,,
,,
5.2/10,41/100,11%
5.5/10,32/100,19%
6.2/10,57/100,
6.5/10,,
6.8/10,,
6.5/10,65/100,84%
7.3/10,54/100,77%
6.5/10,48/100,44%
7.5/10,86/100,93%
7.2/10,,
6.5/10,77/100,91%
5.4/10,,
6.0/10,66/100,79%
6.8/10,56/100,67%
6.4/10,61/100,71%
3.8/10,,
6.7/10,,
6.8/10,42/100,59%
7.0/10,79/100,90%
