imdbid,sprache
tt0080440,Italian
tt0080711,English
tt0081178,English
tt0081675,Japanese
tt0082235,English
tt0082317,Portuguese
tt0082329,English
tt0082468,English
tt0082477,English
tt0082477,Italian
tt0082562,Italian
tt0082769,English
tt0082769,Spanish
tt0083542,English
tt0083722,English
tt0083791,English
tt0084922,Mandarin
tt0085248,English
tt0085248,Berber languages
tt0085248,French
tt0085303,English
tt0085303,Italian
tt0085496,Spanish
tt0085830,Japanese
tt0086050,English
tt0086251,Latin
tt0086251,English
tt0086251,German
tt0086251,Italian
tt0086439,English
tt0086491,English
tt0086491,French
tt0086491,German
tt0086491,Vietnamese
tt0086525,English
tt0087182,English
tt0087233,English
tt0087317,German
tt0087616,Spanish
tt0087644,English
tt0087644,French
tt0087644,Spanish
tt0087650,Russian
tt0087985,English
tt0087985,Russian
tt0087985,Spanish
tt0088271,German
tt0088751,English
tt0088814,English
tt0088814,Portuguese
tt0089482,Mandarin
tt0089482,English
tt0089606,Swedish
tt0089893,English
tt0090490,English
tt0090735,English
tt0090738,English
tt0091027,English
tt0091223,English
tt0091544,English
tt0092045,English
tt0092106,English
tt0092106,Japanese
tt0092359,English
tt0092718,English
tt0092830,English
tt0092831,English
tt0093374,German
tt0093560,English
tt0093560,German
tt0093605,English
tt0094321,English
tt0094535,English
tt0094535,Esperanto
tt0094750,English
tt0094752,English
tt0094924,English
tt0095088,English
tt0095467,Polish
tt0095467,Portuguese
tt0095491,Cantonese
tt0095491,Hakka
tt0095803,English
tt0095963,English
tt0095963,Russian
tt0095963,Spanish
tt0096236,Cantonese
tt0096236,English
tt0096267,English
tt0096463,English
tt0096933,English
tt0096933,Japanese
tt0097694,Japanese
tt0097778,English
tt0097905,English
tt0098072,English
tt0098206,English
tt0098206,Portuguese
tt0098273,English
tt0098477,German
tt0098532,Finnish
tt0098672,English
tt0098994,English
tt0099143,English
tt0099363,English
tt0099364,English
tt0099472,English
tt0099474,English
tt0099810,English
tt0099810,Russian
tt0099817,English
tt0099819,English
tt0099819,Italian
tt0099819,Serbo-Croatian
tt0099975,English
tt0099975,Cantonese
tt0100050,English
tt0100605,Cantonese
tt0100928,English
tt0100967,Cantonese
tt0101169,English
tt0101276,English
tt0101465,English
tt0101465,Algonquin
