imdbid,genre
tt0070778,Crime
tt0070778,Drama
tt0070968,Animation
tt0070968,Adventure
tt0070968,Comedy
tt0071007,Drama
tt0071007,Family
tt0071007,Romance
tt0071391,Horror
tt0071391,Romance
tt0071391,Thriller
tt0072157,Drama
tt0072157,Thriller
tt0072730,Comedy
tt0072730,Drama
tt0072730,Sci-Fi
tt0072890,Biography
tt0072890,Crime
tt0072890,Drama
tt0073155,Drama
tt0073155,Romance
tt0073312,Comedy
tt0073312,War
tt0073511,Action
tt0073511,Adventure
tt0073511,Thriller
tt0073582,Horror
tt0073582,Mystery
tt0073582,Thriller
tt0074506,Action
tt0074506,Crime
tt0074506,Drama
tt0074624,Action
tt0074624,Drama
tt0074806,Drama
tt0074806,Horror
tt0074806,Mystery
tt0075529,Comedy
tt0075529,Drama
tt0075529,Romance
tt0076095,Comedy
tt0076095,Drama
tt0076095,Romance
tt0076162,Comedy
tt0076162,Horror
tt0076519,Action
tt0076519,Adventure
tt0076716,Action
tt0076716,Adventure
tt0076716,Family
tt0076823,Action
tt0076823,Adventure
tt0077290,Action
tt0077290,Drama
tt0077399,Drama
tt0077399,Horror
tt0077399,Mystery
tt0077645,Action
tt0077645,Thriller
tt0077831,Action
tt0077831,Comedy
tt0077831,Drama
tt0077975,Comedy
tt0078397,Drama
tt0078771,Comedy
tt0078771,Drama
tt0078771,Romance
tt0079027,Horror
tt0079027,Sci-Fi
tt0079027,Thriller
tt0079483,Action
tt0079489,Comedy
tt0079489,Horror
tt0079588,Adventure
tt0079588,Comedy
tt0079588,Family
tt0079803,Action
tt0079803,Crime
tt0082235,Horror
tt0082329,Drama
tt0082329,Romance
tt0082468,Drama
tt0082468,Sport
tt0082477,Comedy
tt0082477,Drama
tt0082477,Romance
tt0082562,Comedy
tt0082562,Romance
tt0083542,Horror
tt0083542,Thriller
tt0083722,Fantasy
tt0083722,Horror
tt0083722,Thriller
tt0083791,Adventure
tt0083791,Family
tt0083791,Fantasy
tt0084922,Drama
tt0085303,Horror
tt0085303,Mystery
tt0085303,Thriller
tt0085496,Comedy
tt0085496,Drama
tt0086050,Horror
tt0086439,Drama
tt0086439,Family
tt0086439,Sport
tt0086491,Horror
tt0086491,Sci-Fi
tt0086525,Comedy
tt0086525,Romance
tt0087182,Action
tt0087182,Adventure
tt0087182,Sci-Fi
tt0087233,Drama
tt0087233,Romance
tt0087317,Documentary
tt0087317,Adventure
tt0087644,Drama
tt0087650,Comedy
tt0087650,Drama
tt0087650,Romance
tt0087985,Action
tt0087985,Drama
tt0087985,Thriller
tt0088271,Comedy
tt0089482,Comedy
tt0089482,Family
tt0089482,Fantasy
tt0089606,Drama
tt0089606,Comedy
tt0089893,Action
tt0089893,Adventure
tt0089893,Fantasy
tt0090490,Drama
tt0090490,History
tt0090490,Romance
tt0091027,Action
tt0091027,Drama
tt0091223,Comedy
tt0091223,Fantasy
tt0091223,Horror
tt0092045,Drama
tt0092045,Family
tt0092106,Animation
tt0092106,Action
tt0092106,Adventure
tt0092359,Comedy
tt0092359,Drama
tt0092359,Family
tt0092718,Comedy
tt0092718,Drama
tt0092718,Romance
tt0092830,Adventure
tt0092830,Horror
tt0092831,Horror
tt0092831,Mystery
tt0092831,Thriller
tt0093374,Thriller
tt0093605,Horror
tt0094321,Comedy
tt0094321,Music
tt0094321,Romance
tt0094535,Comedy
tt0094535,Sci-Fi
tt0094924,Biography
tt0094924,Drama
tt0095088,Comedy
tt0095088,Horror
tt0095467,Drama
tt0095467,Romance
tt0095491,Action
tt0095491,Comedy
tt0095491,Crime
tt0095803,Crime
tt0095803,Horror
tt0095803,Thriller
tt0095963,Action
tt0095963,Comedy
tt0095963,Crime
tt0096236,Action
tt0096236,Crime
tt0096236,Drama
tt0096267,Drama
tt0096463,Comedy
tt0096463,Drama
tt0096463,Romance
tt0097778,Comedy
tt0098072,Horror
tt0098072,Thriller
tt0098206,Action
tt0098206,Thriller
tt0098273,Crime
tt0098273,Drama
tt0098273,Mystery
tt0098477,Comedy
tt0098532,Comedy
tt0098532,Crime
tt0098532,Drama
tt0098994,Crime
tt0098994,Drama
tt0098994,Mystery
tt0099363,Drama
tt0099363,Fantasy
tt0099363,Horror
tt0099364,Action
tt0099364,Drama
tt0099364,Fantasy
tt0099472,Animation
tt0099472,Adventure
tt0099472,Comedy
tt0099474,Action
tt0099474,Adventure
tt0099474,Sci-Fi
tt0099810,Action
tt0099810,Adventure
tt0099810,Thriller
tt0099817,Action
tt0099817,Crime
tt0099817,Horror
tt0099819,Comedy
tt0099819,Crime
tt0099975,Action
tt0099975,Comedy
tt0099975,Crime
tt0100050,Comedy
tt0100050,Family
tt0100050,Romance
tt0100605,Action
tt0100605,Comedy
tt0100605,Crime
tt0100967,Action
tt0100967,Comedy
tt0100967,Crime
tt0101169,Animation
tt0101169,Action
tt0101169,Adventure
tt0101276,Drama
tt0101276,Fantasy
tt0101276,Horror
tt0101660,Comedy
tt0101664,Drama
tt0101664,Mystery
tt0101921,Drama
tt0102286,Action
tt0102286,Crime
tt0102286,Drama
tt0102343,Comedy
tt0102343,Fantasy
tt0102343,Romance
tt0102492,Comedy
tt0102492,Drama
tt0102492,Family
tt0102958,Comedy
tt0102958,Romance
tt0103039,Comedy
tt0103352,Drama
tt0103352,Fantasy
tt0103352,Horror
tt0103905,Comedy
tt0103905,Crime
tt0103905,Drama
tt0104036,Crime
tt0104036,Drama
tt0104036,Romance
tt0104054,Drama
tt0104054,Family
tt0104070,Comedy
tt0104070,Fantasy
tt0104070,Horror
tt0104662,Comedy
tt0104662,Romance
tt0104662,Drama
tt0104765,Drama
tt0105592,Action
tt0105811,Drama
tt0105811,Mystery
tt0105811,Thriller
tt0105903,Action
tt0105903,Romance
tt0106052,Comedy
tt0106052,Music
tt0106052,Talk-Show
tt0106053,Comedy
tt0106053,Music
tt0106053,Talk-Show
tt0106664,Horror
tt0106664,Mystery
tt0106664,Thriller
tt0106941,Comedy
tt0106941,Drama
tt0106941,Romance
tt0107438,Comedy
tt0107438,Family
tt0107438,Romance
tt0107473,Comedy
tt0107473,Crime
tt0107473,Drama
tt0108327,Comedy
tt0108327,Drama
tt0108327,Music
tt0108551,Biography
tt0108551,Drama
tt0108551,Music
tt0109078,Crime
tt0109078,Drama
tt0109078,Sci-Fi
tt0109307,Action
tt0109307,Crime
tt0109307,Thriller
tt0109542,Fantasy
tt0109542,Horror
tt0109542,Romance
tt0109550,Drama
tt0109550,Horror
tt0109550,Mystery
tt0109551,Horror
tt0109551,Sci-Fi
tt0109962,Action
