imdbid,land
tt0109965,United States
tt0109965,Japan
tt0110093,United States
tt0110391,United States
tt0110395,United States
tt0110613,United States
tt0110852,Hong Kong
tt0110982,United States
tt0111495,France
tt0111495,Switzerland
tt0111495,Poland
tt0111662,Hong Kong
tt0111727,USA
tt0112572,United States
tt0112606,United States
tt0113198,United States
tt0113198,Australia
tt0113198,France
tt0113198,Canada
tt0113198,Spain
tt0113356,Hong Kong
tt0113416,United States
tt0113703,Japan
tt0113729,United States
tt0114095,United States
tt0114188,United States
tt0114614,United States
tt0114781,United States
tt0115151,United States
tt0116030,United States
tt0116242,United States
tt0116414,United States
tt0116621,United States
tt0116743,United Kingdom
tt0116743,India
tt0116743,Japan
tt0116743,Germany
tt0116743,United States
tt0117891,United States
tt0117905,Hong Kong
tt0117911,United States
tt0118159,Canada
tt0118159,United States
tt0118491,United Kingdom
tt0118556,United States
tt0118694,Hong Kong
tt0118694,France
tt0118843,France
tt0118843,Germany
tt0118843,Federal Republic of Yugoslavia
tt0118843,Austria
tt0118843,Greece
tt0118929,Australia
tt0118929,United States
tt0118930,United States
tt0118930,Canada
tt0118930,Federal Republic of Yugoslavia
tt0119174,United States
tt0119572,United States
tt0119574,United Kingdom
tt0119574,Canada
tt0119574,Italy
tt0119577,United Kingdom
tt0119577,France
tt0119577,Japan
tt0119577,United States
tt0120689,United States
tt0120863,United States
tt0120885,United States
tt0123324,United States
tt0124315,United States
tt0124718,United States
tt0126698,Canada
tt0126916,United States
tt0127760,United States
tt0129023,United States
tt0133011,Brazil
tt0134858,United States
tt0137330,United States
tt0138097,United Kingdom
tt0138097,United States
tt0140745,United States
tt0141006,Canada
tt0141006,USA
tt0141006,Hong Kong
tt0142032,United States
tt0142032,Canada
tt0142032,Germany
tt0142032,Czech Republic
tt0143940,West Germany
tt0144201,France
tt0149593,United States
tt0150662,Sweden
tt0150662,Denmark
tt0153080,United States
tt0156812,United States
tt0160910,USA
tt0161191,United Kingdom
tt0165247,Hong Kong
tt0165247,South Korea
tt0165727,Taiwan
tt0165798,France
tt0165798,Germany
tt0165798,United States
tt0165798,Japan
tt0166252,United States
tt0167400,Turkey
tt0168629,Denmark
tt0168629,Germany
tt0168629,Netherlands
tt0168629,Italy
tt0168629,United States
tt0168629,United Kingdom
tt0168629,France
tt0168629,Sweden
tt0168629,Finland
tt0168629,Iceland
tt0168629,Norway
tt0172184,United States
tt0172184,Bulgaria
tt0172493,United States
tt0172493,Germany
tt0175142,United States
tt0185371,United States
tt0186619,Japan
tt0186726,United States
tt0188453,United Kingdom
tt0188453,United States
tt0188863,United States
tt0189649,United States
tt0190332,China
tt0190332,Taiwan
tt0190332,Hong Kong
tt0190332,United States
tt0190641,Japan
tt0190829,United States
tt0197951,Canada
tt0199725,United States
tt0199727,United Kingdom
tt0199753,United States
tt0199753,Australia
tt0201992,Hong Kong
tt0202109,Taiwan
tt0202880,Japan
tt0203233,Hong Kong
tt0203523,United States
tt0204709,France
tt0204709,Switzerland
tt0204709,Belgium
tt0204709,Luxembourg
tt0204993,United States
tt0204993,Canada
tt0206080,United States
tt0206516,Japan
tt0208003,Germany
tt0208003,United States
tt0210234,Japan
tt0210234,United States
tt0211042,Italy
tt0211042,Thailand
tt0212558,Soviet Union
tt0219374,United States
tt0220880,United States
tt0220880,China
tt0220880,Canada
tt0220880,Taiwan
tt0220880,Spain
tt0221023,United States
tt0221218,United States
tt0224626,United States
tt0228183,United States
tt0234137,United States
tt0234137,Canada
tt0235327,United States
tt0240793,Romania
tt0240793,United States
tt0243255,France
tt0243255,Italy
tt0244479,Czech Republic
tt0244479,United Kingdom
tt0244479,Germany
tt0244479,Denmark
tt0244479,Italy
tt0244479,France
tt0244479,United States
tt0248555,United States
tt0251736,United States
tt0257106,United States
tt0259054,United States
tt0259656,United States
tt0262287,India
tt0262830,United States
tt0263074,Turkey
tt0263975,Turkey
tt0264796,United States
tt0265208,United States
tt0266987,United States
tt0266987,Germany
tt0266987,Japan
tt0266987,France
tt0266987,United Kingdom
tt0269217,Thailand
tt0270480,Spain
tt0270480,Italy
tt0270480,Portugal
tt0270480,France
tt0271111,UK
tt0272338,United States
tt0273689,Denmark
tt0273689,France
tt0273689,Canada
tt0273689,Spain
tt0273689,United States
tt0273689,Japan
tt0273689,Sweden
tt0273689,United Kingdom
tt0273689,Italy
tt0273689,Germany
tt0273689,Netherlands
tt0274965,United States
tt0275277,Japan
tt0275277,United States
tt0277371,United States
tt0277657,United States
tt0279113,United States
tt0279113,Germany
tt0279113,Netherlands
tt0279331,United Kingdom
tt0279331,Germany
tt0279331,United States
tt0280609,United Kingdom
tt0280609,Luxembourg
tt0281360,USA
tt0282698,France
tt0282698,Germany
tt0282698,United States
tt0283877,USA
tt0283877,Canada
tt0284244,Germany
tt0285680,United States
tt0286788,United States
tt0286788,United Kingdom
tt0287839,Germany
tt0287839,United States
tt0289765,Germany
tt0289765,United States
tt0290326,India
tt0292945,Iran
tt0293069,United States
tt0293069,United Kingdom
tt0293069,Netherlands
tt0293715,South Korea
tt0294433,United States
tt0294433,Canada
tt0300051,United States
tt0301370,Taiwan
tt0304824,USA
tt0305669,United States
tt0306047,United States
tt0306047,Canada
tt0306841,United States
tt0308252,Canada
tt0308379,Japan
tt0309530,Germany
tt0309530,United States
tt0312528,United States
tt0312528,Canada
tt0313016,Canada
tt0313016,United Kingdom
tt0314331,United Kingdom
tt0314331,France
tt0314331,United States
tt0314405,United States
tt0315638,Mexico
tt0315983,United States
tt0317676,Germany
tt0317676,Canada
tt0317676,United States
tt0322802,United States
tt0323807,Italy
tt0323807,France
tt0323807,United Kingdom
tt0324013,United States
tt0324013,Canada
tt0325618,Canada
tt0325733,Germany
tt0327643,United States
tt0328077,United States
tt0329200,United States
tt0329200,Zambia
tt0333780,United States
tt0335119,United Kingdom
tt0335119,Luxembourg
tt0335119,France
tt0335119,Belgium
tt0335119,United States
tt0337592,United States
tt0338459,United States
tt0344160,France
tt0345591,United States
tt0345950,United States
tt0345950,Australia
tt0345950,South Korea
tt0347618,Japan
tt0349682,Germany
tt0349682,Switzerland
tt0356634,United States
tt0362120,United States
tt0364517,France
tt0364517,Belgium
tt0369226,Canada
tt0369226,Germany
tt0369226,United States
tt0369672,United States
tt0375735,United Kingdom
tt0375735,France
tt0375735,United States
tt0382189,United Kingdom
tt0382628,United States
tt0384252,Germany
tt0384629,Australia
tt0385002,United Kingdom
tt0385002,United States
tt0385004,China
tt0385004,Hong Kong
tt0385880,United States
tt0387126,United Kingdom
tt0387228,Hong Kong
tt0388980,United States
tt0388980,Canada
tt0389790,United States
tt0389790,Canada
tt0390559,India
tt0391304,United States
tt0391908,USA
tt0393735,United States
tt0393879,India
tt0397065,Australia
tt0397065,United States
tt0397113,United States
tt0397442,United States
tt0397619,South Korea
tt0398868,UK
tt0398883,Italy
tt0399060,United States
tt0401828,USA
tt0402249,Canada
tt0404220,United States
tt0404254,United States
tt0405497,China
tt0407269,United Kingdom
tt0407269,United States
tt0407658,USA
tt0408318,Denmark
tt0408318,Iceland
tt0410297,United States
tt0410297,South Korea
tt0411265,USA
tt0411267,Isle of Man
tt0411267,United Kingdom
tt0411267,United States
tt0411267,Germany
tt0412142,United States
tt0413406,Australia
tt0416675,United States
tt0416881,Japan
tt0417001,United States
tt0419198,Italy
tt0419208,Japan
tt0420252,United States
tt0420555,Italy
tt0420555,France
tt0421030,United States
tt0421239,United States
tt0421729,United States
tt0422434,Sweden
tt0422434,United Kingdom
tt0424430,Japan
tt0424873,Turkey
tt0425637,China
tt0425637,Hong Kong
tt0425637,Japan
tt0425637,Taiwan
tt0425637,South Korea
tt0425637,United States
tt0426592,United States
tt0426883,Germany
tt0426883,United States
tt0428579,United States
tt0429626,Iran
tt0431308,United States
tt0431641,Japan
tt0432402,United States
tt0433360,United States
tt0433963,United States
tt0437729,United States
tt0441834,Japan
tt0443518,United Kingdom
tt0443518,United States
tt0445094,USA
tt0445840,Hong Kong
tt0449306,India
tt0451109,United States
tt0452608,United States
tt0452608,Germany
tt0452608,United Kingdom
tt0452643,United Kingdom
tt0452643,France
tt0452971,Spain
tt0454431,India
tt0456481,India
tt0456773,Germany
tt0459945,Soviet Union
tt0460435,Luxembourg
tt0460435,United Kingdom
tt0462538,United States
tt0462667,France
tt0466342,Switzerland
tt0466342,United States
tt0466408,West Germany
tt0466408,Czechoslovakia
tt0467200,United Kingdom
tt0467200,United States
tt0468558,USA
tt0468569,United States
tt0468569,United Kingdom
tt0468644,Netherlands
tt0469318,United States
tt0477139,United States
tt0477139,United Kingdom
tt0477574,India
tt0481006,Hungary
tt0482527,United States
tt0482527,United Kingdom
tt0482527,Canada
tt0482930,Hong Kong
tt0482930,China
tt0483184,India
tt0483578,Japan
tt0484562,United States
tt0484740,United States
tt0484740,Mexico
tt0484740,United Kingdom
tt0484740,Colombia
tt0485376,United Kingdom
tt0485376,United States
tt0486651,United States
tt0490076,United States
tt0490228,USA
tt0492956,United States
tt0498483,United States
tt0757157,South Korea
tt0758740,Canada
tt0758752,United States
tt0770772,India
tt0770772,United States
tt0783238,United States
tt0784938,USA
tt0792986,France
tt0795363,Taiwan
tt0795363,China
tt0795368,Netherlands
tt0795368,United Kingdom
tt0795368,Germany
tt0795368,United States
tt0795461,United States
tt0799949,United States
tt0800027,United States
tt0803061,Australia
tt0803061,United States
tt0805564,Canada
tt0805564,United States
tt0806165,United States
tt0806165,Japan
tt0808399,United States
tt0808399,Bahrain
tt0808506,Japan
tt0809497,United States
tt0810819,United Kingdom
tt0810819,United States
tt0810819,Germany
tt0810819,Denmark
tt0810819,Belgium
tt0810819,Japan
tt0811138,United Kingdom
tt0811138,Germany
tt0811138,United States
tt0819714,United Kingdom
tt0830558,United States
tt0836641,UK
tt0836641,Sweden
tt0844708,United States
tt0844708,United Kingdom
tt0844708,South Africa
tt0846308,United States
tt0846308,Canada
tt0852705,USA
tt0852713,United States
tt0854678,United States
tt0856262,China
tt0873886,United States
tt0877057,Japan
tt0879870,United States
tt0883398,United States
tt0899106,United States
tt0899106,Canada
tt0899106,United Kingdom
tt0903657,United States
tt0905315,Taiwan
tt0905315,Hong Kong
tt0913951,Germany
tt0913951,USA
tt0920462,Japan
tt0920462,United States
tt0923633,United States
tt0944947,United States
tt0944947,United Kingdom
tt0947810,United Kingdom
tt0947810,France
tt0947810,Spain
tt0947810,United States
tt0947810,Japan
tt0956177,Sweden
tt0972558,Russia
tt0974959,Canada
tt0974959,USA
tt0977855,United States
tt0977855,United Arab Emirates
tt0985025,Finland
tt0985025,Iceland
tt0990407,United States
tt0996605,France
tt1000734,United Kingdom
tt10023024,India
tt10097312,China
tt1013860,United States
tt10160592,South Korea
tt10166602,United States
tt10172266,United States
tt10228168,Japan
tt10228168,United Kingdom
tt10229558,United States
tt1024942,Denmark
tt10274284,United States
tt10275370,United States
tt10276482,United States
tt1028528,United States
tt10293406,New Zealand
tt10293406,United Kingdom
tt10293406,Canada
tt10293406,Australia
tt10293406,United States
tt10320050,Turkey
tt1032815,United States
tt1032815,Canada
tt1032815,United Kingdom
tt10350626,India
tt10365730,United States
tt10380768,United States
tt1043651,Canada
tt1045772,France
tt1045772,United States
tt1046163,United States
tt10466872,United States
tt10466872,Canada
tt10466872,Hungary
tt10472884,Japan
tt10473306,Canada
tt10484164,United Kingdom
tt10484164,Nigeria
tt1050160,Japan
tt1050160,United States
tt10516352,Turkey
tt10546058,United Kingdom
tt10556338,United Kingdom
tt10562574,Thailand
tt10648342,Australia
tt10648342,United States
tt10653784,United States
tt10692788,United Kingdom
tt10731768,United States
tt10752004,United States
tt10763618,South Korea
tt1077368,United States
tt1077368,Australia
tt1077368,United Kingdom
tt10776484,Germany
