imdbid,schauspieler
tt0070968,Kazuko Sugiyama
tt0071007,Melissa Gilbert
tt0071007,Michael Landon
tt0071007,Karen Grassle
tt0072730,Don Johnson
tt0072730,Jason Robards
tt0072730,Susanne Benton
tt0072890,Al Pacino
tt0072890,John Cazale
tt0072890,Penelope Allen
tt0073511,David Niven
tt0073511,Toshirô Mifune
tt0073511,Hardy Krüger
tt0073582,David Hemmings
tt0073582,Daria Nicolodi
tt0073582,Gabriele Lavia
tt0074506,Bruce Li
tt0074506,Yi Chang
tt0074506,Kang Chin
tt0074624,Jimmy Wang Yu
tt0074624,Chiao Chiao
tt0074624,Yeh Tien
tt0074806,Jodie Foster
tt0074806,Martin Sheen
tt0074806,Alexis Smith
tt0076095,Richard Dreyfuss
tt0076095,Marsha Mason
tt0076095,Quinn Cummings
tt0076162,Kimiko Ikegami
tt0076162,Miki Jinbo
tt0076162,Kumiko Ôba
tt0076519,Lung Ti
tt0076519,Feng Ku
tt0076519,Lily Li
tt0076716,Patrick Wayne
tt0076716,Jane Seymour
tt0076716,Taryn Power
tt0076823,Kabir Bedi
tt0076823,Philippe Leroy
tt0076823,Massimo Foschi
tt0077290,Siu-Lung Leung
tt0077290,Yasuaki Kurata
tt0077290,Wan-Si Wong
tt0077645,Bruce Le
tt0077645,Richard Harrison
tt0077645,Jeong-lee Hwang
tt0077831,Meg Lam
tt0077831,Jason Piao Pai
tt0077831,Yuet-Sang Chin
tt0077975,John Belushi
tt0077975,Karen Allen
tt0077975,Tom Hulce
tt0078397,Ljubisa Samardzic
tt0078397,Slavko Stimac
tt0078397,Vera Cukic
tt0079483,Jeong-lee Hwang
tt0079483,Yuen-Man Meng
tt0079483,Hoi Mang
tt0079588,Jim Henson
tt0079588,Frank Oz
tt0079588,Jerry Nelson
tt0079803,Bruce Li
tt0079803,Paul L. Smith
tt0079803,Yi Chang
tt0082468,Harry Belafonte
tt0082468,Caitlyn Jenner
tt0082468,Dennis Haysbert
tt0082477,John Gordon Sinclair
tt0082477,Dee Hepburn
tt0082477,Jake D'Arcy
tt0083722,Nastassja Kinski
tt0083722,Malcolm McDowell
tt0083722,John Heard
tt0084922,Lung Ti
tt0084922,Ping Wang
tt0084922,Feng Ku
tt0086439,Lindsay Barr
tt0086439,Dave Bokas
tt0086439,Chris Bremer
tt0086491,Dan Aykroyd
tt0086491,Albert Brooks
tt0086491,Vic Morrow
tt0086525,Nicolas Cage
tt0086525,Deborah Foreman
tt0086525,Elizabeth Daily
tt0087182,Kyle MacLachlan
tt0087182,Virginia Madsen
tt0087182,Francesca Annis
tt0087985,Patrick Swayze
tt0087985,C. Thomas Howell
tt0087985,Lea Thompson
tt0088271,Art Metrano
tt0088271,William Berger
tt0088271,Eddie Constantine
tt0089482,Teddy Robin Kwan
tt0089482,Bin Bin
tt0089482,Yin-Tze Pan
tt0089606,Anton Glanzelius
tt0089606,Tomas von Brömssen
tt0089606,Anki Lidén
tt0089893,Arnold Schwarzenegger
tt0089893,Brigitte Nielsen
tt0089893,Sandahl Bergman
tt0091027,Gary Busey
tt0091027,Yaphet Kotto
tt0091027,Seymour Cassel
tt0091223,William Katt
tt0091223,Kay Lenz
tt0091223,George Wendt
tt0092045,Grant Navin
tt0092045,Gordon Poole
tt0092045,Caz Lederman
tt0092106,Orson Welles
tt0092106,Robert Stack
tt0092106,Leonard Nimoy
tt0092359,Bob Saget
tt0092359,John Stamos
tt0092359,Dave Coulier
tt0093374,Stéphane Ferrara
tt0093374,Beate Jensen
tt0093374,Yves Beneyton
tt0094321,Madonna
tt0094321,Griffin Dunne
tt0094321,Haviland Morris
tt0094535,Chris Barrie
tt0094535,Craig Charles
tt0094535,Danny John-Jules
tt0095491,Chow Yun-Fat
tt0095491,Nina Li Chi
tt0095491,Conan Lee
tt0095963,Arnold Schwarzenegger
tt0095963,Jim Belushi
tt0095963,Peter Boyle
tt0096236,Jacky Cheung
tt0096236,Carol 'Do Do' Cheng
tt0096236,Simon Yam
tt0096267,Patrick Swayze
tt0096267,Piper Laurie
tt0096267,Lee Richardson
tt0096463,Melanie Griffith
tt0096463,Harrison Ford
tt0096463,Sigourney Weaver
tt0097778,John Travolta
tt0097778,Kirstie Alley
tt0097778,Olympia Dukakis
tt0098206,Patrick Swayze
tt0098206,Kelly Lynch
tt0098206,Sam Elliott
tt0098477,Natja Brunckhorst
tt0098477,Martina Gedeck
tt0098477,Sabine Kaack
tt0098532,Kati Outinen
tt0098532,Elina Salo
tt0098532,Esko Nikkari
tt0099472,Alan Young
tt0099472,Christopher Lloyd
tt0099472,Terence McGovern
tt0099474,David Carradine
tt0099474,Rick Hill
tt0099474,Luke Askew
tt0099810,Sean Connery
tt0099810,Alec Baldwin
tt0099810,Scott Glenn
tt0099975,Danny Lee
tt0099975,Conan Lee
tt0099975,Ellen Chan
tt0100050,John Travolta
tt0100050,Kirstie Alley
tt0100050,Olympia Dukakis
tt0100605,Sammo Kam-Bo Hung
tt0100605,Karl Maka
tt0100605,Ming Yan Lung
tt0100967,Donnie Yen
tt0100967,Rosamund Kwan
tt0100967,David Wu
tt0101921,Kathy Bates
tt0101921,Jessica Tandy
tt0101921,Mary Stuart Masterson
tt0102286,Sharla Cheung
tt0102286,Kwok Leung Cheung
tt0102286,Michael Wong
tt0102492,Anna Chlumsky
tt0102492,Macaulay Culkin
tt0102492,Dan Aykroyd
tt0103905,Benoît Poelvoorde
tt0103905,Jacqueline Poelvoorde-Pappaert
tt0103905,Nelly Pappaert
tt0104036,Stephen Rea
tt0104036,Jaye Davidson
tt0104036,Forest Whitaker
tt0104070,Meryl Streep
tt0104070,Bruce Willis
tt0104070,Goldie Hawn
tt0105592,Cynthia Rothrock
tt0105592,Nick Dibley
tt0105592,Fern Figueiredo
tt0105903,Kara Ying Hung Wai
tt0105903,Chunzhong Zhang
tt0105903,Alexander Rei Lo
tt0106052,Conan O'Brien
tt0106052,The Max Weinberg 7
tt0106052,Andy Richter
tt0106053,David Letterman
tt0106053,Paul Shaffer
tt0106053,Alan Kalter
tt0107438,John Travolta
tt0107438,Kirstie Alley
tt0107438,David Gallagher
tt0107473,Robert De Niro
tt0107473,Uma Thurman
tt0107473,Bill Murray
tt0109307,Virginia Madsen
tt0109307,Tôru Nakamura
tt0109307,Dean Hallo
tt0110613,Dan Aykroyd
tt0110613,Jamie Lee Curtis
tt0110613,Anna Chlumsky
tt0111495,Irène Jacob
tt0111495,Jean-Louis Trintignant
tt0111495,Frédérique Feder
tt0111662,Simon Yam
tt0111662,Ching-Wan Lau
tt0111662,Yeung-Ming Wan
tt0111727,Mark Hamill
tt0111727,Malcolm McDowell
tt0111727,John Rhys-Davies
tt0111727,Jason Bernard
tt0112572,Shelley Long
tt0112572,Gary Cole
tt0112572,Christine Taylor
tt0113198,Bill Farmer
tt0113198,Jason Marsden
tt0113198,Jim Cummings
tt0114095,Parker Posey
tt0114095,Omar Townsend
tt0114095,The Lady Bunny
tt0114614,Lori Petty
tt0114614,Ice-T
tt0114614,Naomi Watts
tt0116414,Theresa Randle
tt0116414,Isaiah Washington
tt0116414,Spike Lee
tt0117911,Ted Jan Roberts
