imdbid,autor
tt0057012,Terry Southern
tt0057012,Peter George
tt0057076,Richard Maibaum
tt0057076,Johanna Harwood
tt0057076,Ian Fleming
tt0057263,Arnold Schulman
tt0057379,Robert Dillon
tt0057379,J.B. Priestley
tt0058536,Romeo Muller
tt0058536,Robert May
tt0058536,Johnny Marks
tt0058586,Blake Edwards
tt0058586,William Peter Blatty
tt0058586,Harry Kurnitz
tt0058656,Cheh Chang
tt0058657,Ian Niall
tt0058657,Lowell S. Hawley
tt0058658,Roger Hanin
tt0058658,Jean Halain
tt0059017,Walter Newman
tt0059017,Frank Pierson
tt0059017,Roy Chanslor
tt0059978,Dan Curtis
tt0060153,Lorenzo Semple Jr.
tt0060153,Bob Kane
tt0060153,William Dozier
tt0060492,Trevor Peacock
tt0060565,Thomas W. Blackburn
tt0060565,Paul Crabtree
tt0060565,R. John Hugh
tt0060758,Ousmane Sembene
tt0061095,Roger Hanin
tt0061095,Jean Curtelin
tt0061177,Woody Allen
tt0061177,Frank Buxton
tt0061177,Louise Lasser
tt0062369,Murray Schisgal
tt0062370,Agenore Incrocci
tt0062370,Furio Scarpelli
tt0062370,Dino Risi
tt0062376,E.R. Braithwaite
tt0062376,James Clavell
tt0062467,Frederick Knott
tt0062467,Robert Carrington
tt0062467,Jane-Howard Hammerstein
tt0062863,Ranald MacDougall
tt0062863,Adrian Spies
tt0062863,Wilbur Smith
tt0062994,Isobel Lennart
tt0063069,Tony Benedict
tt0063696,Charles A. Wallace
tt0064603,Bill Walsh
tt0064603,Don DaGradi
tt0064603,Gordon Buford
tt0065856,Sam Hall
tt0065856,Gordon Russell
tt0065955,Roy Andersson
tt0066011,Erich Segal
tt0066343,Irv Spector
tt0066456,Donald Brittain
tt0066579,D.H. Lawrence
tt0066579,Larry Kramer
tt0067310,M. Wegener
tt0067310,Theo Maria Werner
tt0067310,Werner P. Zibaso
tt0067491,Sam Hall
tt0067491,Dan Curtis
tt0068205,Éric Rohmer
tt0068612,Robert Crumb
tt0068612,Ralph Bakshi
tt0068833,Wes Craven
tt0068833,Ulla Isaksson
tt0069945,John Carpenter
tt0069945,Dan O'Bannon
tt0069973,Jesús Franco
tt0069973,Elisabeth Ledu de Nesle
tt0069992,Nigel McKeand
tt0069995,Daphne Du Maurier
tt0069995,Allan Scott
tt0069995,Chris Bryant
tt0070301,Wei Lo
tt0070640,Steve Shagan
tt0070705,Wei Lo
tt0070723,Stanley R. Greenberg
tt0070723,Harry Harrison
tt0070778,Hao Ho
tt0070968,Sean Jara
tt0071007,Blanche Hanalis
tt0071391,Ed Brennan
tt0071391,Joseph Van Winkle
tt0071391,James Hannah Jr.
tt0072157,Kazuo Kamimura
tt0072157,Kazuo Koike
tt0072157,Norio Osada
tt0072730,L.Q. Jones
tt0072730,Harlan Ellison
tt0072730,Wayne Cruseturner
tt0072890,Frank Pierson
tt0072890,P.F. Kluge
tt0072890,Thomas Moore
tt0073155,Christopher Frank
tt0073155,Andrzej Zulawski
tt0073312,Woody Allen
tt0073511,Jack Davies
tt0073582,Dario Argento
tt0073582,Bernardino Zapponi
tt0074506,Hsin-Yi Chang
tt0074624,Kuang Ni
tt0074806,Laird Koenig
tt0075529,Wilford Lloyd Baumes
tt0076095,Neil Simon
tt0076162,Chiho Katsura
tt0076162,Chigumi Ôbayashi
tt0076519,Yuen Chor
tt0076519,Lung Ku
tt0076716,Beverley Cross
tt0076716,Ray Harryhausen
tt0076823,Alberto Silvestri
tt0076823,Sergio Sollima
tt0077290,See-Yuen Ng
tt0077290,Lu Tung
tt0077399,N/A
tt0077645,Bruce Le
tt0077645,Fan Pan
tt0077831,Karl Maka
tt0077831,Eric Tsang
tt0077975,Harold Ramis
tt0077975,Douglas Kenney
tt0077975,Chris Miller
tt0078397,Gordan Mihic
tt0078771,François Truffaut
tt0078771,Marie-France Pisier
tt0078771,Jean Aurel
tt0079027,Stanford Whitmore
tt0079483,Wei-Hung Teng
tt0079483,Liang-Tai Tu
tt0079483,Yuk Long Wong
tt0079489,Robert Kaufman
tt0079489,Mark Gindes
tt0079489,Bram Stoker
tt0079588,Jerry Juhl
tt0079588,Jack Burns
tt0079803,Hsin-Yi Chang
tt0082235,J.D. Feigelson
tt0082235,Butler Handcock
tt0082329,Scott Spencer
tt0082329,Judith Rascoe
tt0082468,William A. Attaway
tt0082468,Bruce Bahrenburg
tt0082468,Zev Cohen
tt0082477,Bill Forsyth
tt0082562,Franco Castellano
tt0082562,Giuseppe Moccia
tt0083542,Jack Sholder
tt0083542,Robert Shaye
tt0083542,Michael Harrpster
tt0083722,DeWitt Bodeen
tt0083722,Alan Ormsby
tt0083722,Paul Schrader
tt0083791,David Odell
tt0083791,Jim Henson
tt0084922,Han Hsiang Li
tt0084922,Guanzhong Luo
tt0084922,Nai'an Shi
tt0085303,Dardano Sacchetti
tt0085303,Elisa Briganti
tt0085496,Pedro Almodóvar
tt0086050,Tom McLoughlin
tt0086050,Michael Hawes
tt0086439,Alan Shapiro
tt0086439,Bobby Fine
tt0086491,John Landis
tt0086491,George Clayton Johnson
tt0086491,Richard Matheson
tt0086525,Andrew Lane
tt0086525,Wayne Crawford
tt0087182,Frank Herbert
tt0087182,David Lynch
tt0087233,Michael Cristofer
tt0087317,Werner Herzog
tt0087644,Ted Allan
tt0087644,John Cassavetes
tt0087650,Vladimir Gurkin
tt0087985,Kevin Reynolds
tt0087985,John Milius
tt0088271,Helmut Zenker
tt0088271,Peter Patzak
tt0089482,Raymond Pak-Ming Wong
tt0089606,Reidar Jönsson
tt0089606,Lasse Hallström
tt0089606,Brasse Brännström
tt0089893,Robert E. Howard
tt0089893,Clive Exton
tt0089893,George MacDonald Fraser
tt0090490,Douglas Heyes
tt0091027,Michael Thomas Montgomery
tt0091223,Fred Dekker
tt0091223,Ethan Wiley
tt0092045,Rolf de Heer
tt0092106,Ron Friedman
tt0092106,Flint Dille
tt0092106,Douglas Booth
tt0092359,Jeff Franklin
tt0092718,Michael Swerdlick
tt0092830,Sonia Borg
tt0092830,Grahame Webb
tt0092830,Tony Morphett
tt0092831,Robert J. Avrech
tt0092831,Ken Blackwell
tt0092831,Ken Wiederhorn
tt0093374,Petra Haffter
tt0093374,Peter Reinholz
tt0093374,Francis Ryck
tt0093605,Eric Red
tt0093605,Kathryn Bigelow
tt0094321,Andrew Smith
tt0094321,Ken Finkleman
tt0094535,Rob Grant
tt0094535,Doug Naylor
tt0094924,John Bryson
tt0094924,Robert Caswell
tt0094924,Fred Schepisi
tt0095088,Sam Egan
tt0095088,John Paragon
tt0095088,Cassandra Peterson
tt0095467,Krzysztof Kieslowski
tt0095467,Krzysztof Piesiewicz
tt0095491,Kwok Chi Tsang
tt0095803,J. Greg De Felice
tt0095803,Zane W. Levitt
tt0095963,Walter Hill
tt0095963,Harry Kleiner
tt0095963,Troy Kennedy Martin
tt0096236,Wing-Fai Wong
tt0096236,Kwong-Kim Yip
tt0096267,Roy London
tt0096463,Kevin Wade
tt0097778,Amy Heckerling
tt0098072,Olga Pehar
tt0098072,Umberto Lenzi
tt0098206,R. Lance Hill
tt0098206,Hilary Henkin
tt0098273,Richard Price
tt0098477,Sherry Hormann
tt0098532,Aki Kaurismäki
tt0098994,Jim Thompson
tt0098994,Robert Redlin
tt0098994,James Foley
tt0099363,Dan Curtis
tt0099364,Carey W. Hayes
tt0099364,Chad Hayes
tt0099472,Alan Burnett
tt0099472,Carl Barks
tt0099472,Ted Osborne
tt0099474,Thomas McKelvey Cleaver
tt0099810,Tom Clancy
tt0099810,Larry Ferguson
tt0099810,Donald E. Stewart
tt0099817,Jonathan Tydor
tt0099817,David Koepp
tt0099819,John Kostmayer
tt0099975,Lai Ling Cheung
tt0099975,Ho Yi
tt0100050,Amy Heckerling
tt0100050,Neal Israel
tt0100605,Kwok Chi Tsang
tt0100967,Chi-Ho Fong
tt0100967,Kwong-Kim Yip
tt0100967,Yeuk-Kwong Yuen
tt0101169,David Kirschner
tt0101276,Mark Peploe
tt0101276,Frederick Seidel
tt0101660,Adam Rifkin
tt0101664,Tony Hillerman
tt0101664,Neal Jimenez
tt0101664,Eric Bergren
